age,gender,weight (KG),height (CM),BMI,daily steps,heart rate (BPM),calories burned
26,F,62,185,18.12,5229,96,475
24,M,72,167,25.82,5291,62,481
50,M,72,184,21.27,5894,80,536
29,F,52,155,21.64,5683,103,517
25,F,52,180,16.05,5145,94,468
29,M,52,182,15.7,5359,75,487
38,F,52,182,15.7,5116,89,465
51,M,52,158,20.83,5381,90,489
52,F,62,165,22.77,4611,74,419
43,M,52,174,17.18,5801,103,527
54,F,72,164,26.77,5089,104,463
36,M,72,163,27.1,4946,94,450
59,F,52,158,20.83,4918,63,447
47,F,72,171,24.62,5638,102,513
28,M,72,173,24.06,5583,61,508
42,M,52,166,18.87,5152,103,468
36,M,52,167,18.65,5794,65,527
60,M,52,175,16.98,5337,64,485
29,F,72,177,22.98,4948,84,450
30,M,72,178,22.72,5883,75,535
55,M,62,171,21.2,5835,69,530
27,M,62,182,18.72,5780,90,525
21,M,52,160,20.31,5169,75,470
25,F,52,165,19.1,5720,84,520
47,M,52,177,16.6,5494,101,499
28,M,72,156,29.59,5836,83,531
38,M,62,161,23.92,4601,93,418
35,F,52,170,17.99,4756,101,432
23,F,62,172,20.96,5955,70,541
28,M,72,171,24.62,5538,77,503
22,M,72,185,21.04,4733,85,430
56,M,62,170,21.45,5097,104,463
52,F,52,167,18.65,5312,72,483
38,F,62,164,23.05,5618,81,511
40,M,52,171,17.78,5665,77,515
27,M,72,162,27.43,4940,105,449
46,M,62,169,21.71,4588,60,417
41,M,72,171,24.62,4939,88,449
58,M,52,181,15.87,5716,90,520
34,F,62,161,23.92,5788,89,526
60,F,72,172,24.34,4964,76,451
38,F,62,184,18.31,5425,79,493
22,F,62,157,25.15,5608,85,510
60,F,62,174,20.48,5988,61,544
52,F,52,174,17.18,5293,75,481
37,M,52,168,18.42,4681,60,426
54,M,62,177,19.79,4881,92,444
30,M,62,178,19.57,4819,97,438
22,F,72,178,22.72,5329,82,484
36,M,62,174,20.48,4946,60,450
58,M,52,177,16.6,5207,64,473
60,F,72,182,21.74,5148,74,468
28,F,72,171,24.62,4941,67,449
60,F,62,159,24.52,4778,104,434
56,F,72,167,25.82,5540,85,504
39,F,62,159,24.52,5049,72,459
50,F,52,177,16.6,5213,91,474
27,M,62,165,22.77,5148,84,468
47,M,72,174,23.78,5149,66,468
37,F,52,185,15.19,5469,82,497
28,M,62,159,24.52,5857,104,532
22,F,72,161,27.78,5511,68,501
26,M,62,179,19.35,5901,76,536
24,M,62,181,18.92,5814,64,529
23,F,62,161,23.92,4796,82,436
45,F,72,164,26.77,5407,103,492
37,M,62,172,20.96,4513,105,410
29,M,72,158,28.84,5079,84,462
44,F,72,166,26.13,5349,66,486
58,M,72,156,29.59,4911,96,446
25,M,52,165,19.1,5949,79,541
27,M,62,169,21.71,5520,90,502
38,M,62,174,20.48,5070,101,461
30,F,62,161,23.92,4695,105,427
46,M,52,176,16.79,4663,99,424
23,F,72,176,23.24,5688,79,517
22,M,62,165,22.77,5370,102,488
46,M,52,185,15.19,5992,64,545
20,M,62,180,19.14,5877,62,534
22,F,62,169,21.71,5782,63,526
59,M,52,176,16.79,4934,96,449
24,F,62,179,19.35,5739,81,522
30,F,52,178,16.41,5927,97,539
25,M,52,178,16.41,5209,97,474
54,F,52,183,15.53,5234,76,476
34,F,72,156,29.59,5581,64,507
30,M,62,163,23.34,5312,91,483
52,F,72,159,28.48,5528,81,503
57,F,62,179,19.35,5853,81,532
45,F,72,157,29.21,5321,70,484
43,M,52,180,16.05,5078,78,462
47,M,72,179,22.47,4749,76,432
38,M,62,178,19.57,5006,75,455
22,M,62,163,23.34,4807,93,437
48,F,52,157,21.1,5650,80,514
44,F,72,173,24.06,5602,90,509
28,M,72,164,26.77,5405,87,491
50,F,72,157,29.21,4844,65,440
47,M,62,156,25.48,5045,92,459
20,F,62,158,24.84,4734,64,430
25,M,62,172,20.96,4917,67,447
32,M,72,172,24.34,5266,105,479
39,M,62,164,23.05,4803,91,437
30,M,62,161,23.92,5040,95,458
47,M,52,160,20.31,4916,87,447
41,M,72,180,22.22,5469,69,497
31,M,72,177,22.98,5561,62,506
37,F,62,172,20.96,5136,102,467
48,M,72,166,26.13,5746,75,522
46,F,62,164,23.05,4633,87,421
53,F,72,160,28.13,4769,72,434
53,F,62,164,23.05,4992,92,454
60,M,62,174,20.48,5257,73,478
57,F,72,174,23.78,4977,62,452
47,M,72,183,21.5,5402,95,491
36,F,62,167,22.23,5261,75,478
59,M,72,164,26.77,5728,85,521
57,F,62,155,25.81,5918,71,538
34,F,72,162,27.43,5159,68,469
40,M,52,177,16.6,4930,101,448
47,F,62,156,25.48,5089,65,463
41,F,62,158,24.84,5549,64,504
36,F,72,177,22.98,5246,96,477
44,M,62,176,20.02,5700,101,518
46,F,52,162,19.81,5787,78,526
27,M,62,174,20.48,5607,80,510
24,M,72,175,23.51,5126,70,466
42,M,72,160,28.13,5006,96,455
45,F,72,178,22.72,4870,76,443
27,M,62,155,25.81,5387,74,490
21,F,72,166,26.13,5195,92,472
55,F,72,158,28.84,4990,102,454
22,M,72,168,25.51,4852,92,441
52,F,52,170,17.99,5013,105,456
52,F,62,175,20.24,4683,74,426
52,M,62,164,23.05,4660,97,424
22,F,72,168,25.51,5628,67,512
57,M,62,165,22.77,5046,66,459
34,M,62,160,24.22,5101,96,464
40,M,72,178,22.72,5002,63,455
21,F,52,168,18.42,5433,104,494
41,F,62,185,18.12,5883,62,535
32,F,72,155,29.97,5338,67,485
21,F,62,184,18.31,5206,62,473
31,M,62,173,20.72,4965,66,451
51,M,72,182,21.74,5880,78,535
24,F,72,161,27.78,4569,88,415
30,F,52,160,20.31,4721,69,429
46,M,62,181,18.92,5724,62,520
26,F,72,162,27.43,5138,69,467
50,F,62,165,22.77,4894,70,445
24,F,52,162,19.81,5780,78,525
29,F,62,171,21.2,5672,81,516
60,F,62,181,18.92,4611,87,419
43,F,62,158,24.84,5283,71,480
27,F,62,176,20.02,5726,82,521
33,M,52,178,16.41,4694,70,427
28,M,62,172,20.96,5383,68,489
56,M,52,176,16.79,5046,79,459
52,F,72,156,29.59,5056,93,460
20,F,52,167,18.65,5411,86,492
24,M,52,177,16.6,5662,81,515
32,F,62,161,23.92,5640,98,513
27,M,72,156,29.59,5880,100,535
22,F,52,173,17.37,5776,85,525
33,M,72,158,28.84,4659,83,424
35,M,52,161,20.06,4977,88,452
22,F,52,182,15.7,4737,81,431
33,F,52,171,17.78,5900,97,536
48,M,52,164,19.33,4748,100,432
58,F,62,160,24.22,4666,87,424
55,M,62,185,18.12,4857,103,442
35,F,52,155,21.64,5311,64,483
39,M,52,174,17.18,4545,87,413
30,F,52,157,21.1,5206,61,473
57,F,72,171,24.62,5756,82,523
20,F,62,182,18.72,5738,63,522
30,F,72,177,22.98,5343,79,486
59,M,62,183,18.51,4692,105,427
22,M,62,173,20.72,5795,92,527
33,F,52,176,16.79,5837,84,531
23,F,62,177,19.79,5884,64,535
34,M,52,162,19.81,4615,68,420
41,M,62,177,19.79,4949,84,450
47,F,62,180,19.14,4581,81,416
46,M,72,174,23.78,5912,98,537
44,F,62,161,23.92,5808,100,528
58,F,62,161,23.92,4940,81,449
24,F,72,161,27.78,5800,80,527
49,F,62,176,20.02,5874,71,534
33,M,52,157,21.1,5881,102,535
60,F,62,157,25.15,4806,85,437
38,M,72,184,21.27,5853,80,532
48,F,62,172,20.96,5314,104,483
49,F,62,156,25.48,5825,102,530
43,M,72,157,29.21,4952,105,450
59,M,52,159,20.57,5012,101,456
43,M,62,171,21.2,4703,65,428
30,F,62,165,22.77,4770,61,434
35,F,72,176,23.24,5924,96,539
44,M,62,155,25.81,5267,87,479
50,M,72,182,21.74,5676,100,516
37,F,72,175,23.51,5362,95,487
58,F,52,181,15.87,4738,96,431
38,M,52,166,18.87,5017,73,456
36,F,62,159,24.52,5394,72,490
48,F,62,175,20.24,5995,75,545
48,F,62,173,20.72,5539,95,504
22,M,72,167,25.82,5827,75,530
52,M,62,169,21.71,4832,95,439
22,F,62,174,20.48,5809,96,528
38,F,62,171,21.2,5972,71,543
58,M,52,169,18.21,5038,105,458
23,F,72,171,24.62,5358,96,487
55,F,52,165,19.1,5088,65,463
25,F,62,171,21.2,4616,89,420
23,F,72,179,22.47,5176,75,471
32,M,62,162,23.62,5973,99,543
58,M,62,179,19.35,4767,77,433
59,M,52,167,18.65,5453,103,496
49,F,72,173,24.06,5123,79,466
23,F,52,164,19.33,4756,67,432
33,M,52,162,19.81,5865,95,533
59,F,62,162,23.62,5081,99,462
53,M,62,156,25.48,5787,83,526
47,M,62,166,22.5,5718,98,520
59,M,72,177,22.98,5924,87,539
51,F,62,173,20.72,5396,75,491
58,F,72,175,23.51,5959,92,542
52,M,62,181,18.92,5272,75,479
28,F,52,169,18.21,5108,82,464
51,F,62,179,19.35,5629,69,512
38,F,72,177,22.98,5357,79,487
27,M,72,174,23.78,5371,85,488
28,F,62,174,20.48,4982,94,453
59,F,52,161,20.06,5927,76,539
46,F,62,155,25.81,4863,102,442
43,M,72,161,27.78,5098,93,463
48,M,72,167,25.82,5472,62,497
55,M,52,176,16.79,4555,89,414
43,M,72,164,26.77,5474,62,498
24,F,72,157,29.21,5855,63,532
29,M,52,166,18.87,5899,83,536
27,M,52,160,20.31,5820,76,529
35,M,72,155,29.97,5027,91,457
55,F,52,160,20.31,4619,99,420
55,F,62,179,19.35,5144,105,468
25,M,72,163,27.1,4595,98,418
51,F,62,172,20.96,4961,73,451
31,M,52,168,18.42,5978,87,543
53,M,72,157,29.21,5976,69,543
25,M,52,176,16.79,5866,95,533
42,F,62,178,19.57,4644,71,422
53,F,72,166,26.13,5571,69,506
25,M,72,164,26.77,5524,100,502
33,F,72,161,27.78,5590,86,508
29,M,72,173,24.06,5902,72,537
30,F,62,170,21.45,4682,77,426
57,M,52,176,16.79,5337,63,485
33,M,72,182,21.74,4802,66,437
59,M,62,159,24.52,5691,88,517
22,F,62,176,20.02,4911,65,446
28,M,62,175,20.24,4846,77,441
22,F,62,163,23.34,5507,101,501
52,M,72,178,22.72,5392,60,490
37,F,62,178,19.57,4887,95,444
46,F,62,156,25.48,5805,95,528
48,M,72,169,25.21,5719,105,520
50,M,62,180,19.14,5972,70,543
53,M,62,168,21.97,5060,77,460
26,M,72,167,25.82,5623,96,511
49,F,72,182,21.74,5720,68,520
37,M,72,161,27.78,5499,101,500
49,M,62,179,19.35,5830,88,530
39,F,62,182,18.72,4613,98,419
29,F,72,158,28.84,5420,75,493
25,M,52,159,20.57,5077,66,462
48,M,62,181,18.92,5255,73,478
22,F,62,163,23.34,5644,96,513
35,F,72,163,27.1,5257,88,478
58,M,72,174,23.78,5301,105,482
49,F,72,166,26.13,4985,88,453
22,F,72,171,24.62,5130,64,466
47,M,72,178,22.72,4504,105,409
36,F,72,156,29.59,5856,99,532
52,M,52,157,21.1,5024,84,457
54,M,62,168,21.97,5575,76,507
47,F,72,183,21.5,5307,86,482
54,F,52,171,17.78,5382,84,489
24,M,52,164,19.33,5931,103,539
31,M,62,171,21.2,4610,79,419
24,M,62,171,21.2,5622,69,511
39,M,52,173,17.37,4955,88,450
46,M,52,169,18.21,5332,91,485
26,M,62,168,21.97,5873,62,534
24,M,62,164,23.05,4798,88,436
25,M,62,167,22.23,4609,100,419
31,M,72,156,29.59,5140,85,467
52,M,62,162,23.62,4740,84,431
40,M,52,155,21.64,5669,69,515
27,M,62,162,23.62,5428,80,493
43,M,62,182,18.72,4873,86,443
50,M,62,158,24.84,5578,100,507
41,M,72,158,28.84,5164,76,469
28,M,62,181,18.92,5020,82,456
30,M,72,159,28.48,5488,105,499
47,F,72,181,21.98,5631,95,512
48,F,72,184,21.27,5890,62,535
43,M,52,167,18.65,5069,88,461
22,F,62,170,21.45,4960,97,451
49,F,62,165,22.77,4897,67,445
41,M,72,176,23.24,5811,84,528
30,M,72,156,29.59,5576,83,507
55,M,52,158,20.83,5135,63,467
40,M,52,176,16.79,5663,70,515
34,M,62,184,18.31,4728,62,430
54,F,62,175,20.24,4657,103,423
23,F,52,159,20.57,4782,86,435
20,M,62,158,24.84,5796,90,527
38,M,52,163,19.57,5810,92,528
58,F,62,184,18.31,5389,101,490
47,M,62,164,23.05,5026,65,457
48,M,72,158,28.84,5123,88,466
46,F,72,162,27.43,5904,61,537
32,F,72,159,28.48,5490,83,499
43,M,52,171,17.78,5612,86,510
21,F,72,161,27.78,4600,92,418
55,F,72,180,22.22,5344,85,486
34,F,52,167,18.65,4996,88,454
48,F,62,185,18.12,4995,95,454
35,M,62,176,20.02,5229,92,475
30,F,72,181,21.98,5980,103,544
38,M,72,170,24.91,5890,102,535
25,F,72,158,28.84,4522,95,411
38,M,72,169,25.21,5005,62,455
41,M,62,162,23.62,5258,87,478
51,F,72,171,24.62,5154,94,469
36,M,52,157,21.1,5495,93,500
34,M,72,160,28.13,5426,95,493
35,M,62,159,24.52,5208,105,473
30,F,62,162,23.62,5946,99,541
44,M,72,163,27.1,4747,71,432
42,F,62,156,25.48,4862,95,442
36,F,62,164,23.05,5859,60,533
23,M,72,165,26.45,5864,71,533
55,F,72,158,28.84,5000,93,455
52,F,72,170,24.91,4680,62,425
27,F,52,162,19.81,5374,77,489
47,F,72,166,26.13,5369,75,488
52,F,62,157,25.15,5078,93,462
33,F,72,179,22.47,5161,84,469
44,M,62,178,19.57,5037,61,458
32,F,62,161,23.92,5331,65,485
20,M,72,165,26.45,4841,81,440
29,F,72,170,24.91,4978,76,453
52,F,52,176,16.79,5180,91,471
57,M,62,167,22.23,4796,102,436
22,M,52,184,15.36,5928,77,539
24,F,72,180,22.22,5428,74,493
55,F,62,178,19.57,5521,105,502
37,M,62,173,20.72,4967,100,452
54,M,52,176,16.79,4808,84,437
26,M,52,162,19.81,4662,93,424
46,F,62,180,19.14,5665,105,515
37,M,62,175,20.24,5699,105,518
52,M,62,176,20.02,5116,103,465
50,M,62,166,22.5,5821,88,529
21,F,72,169,25.21,4961,82,451
58,F,52,185,15.19,4925,93,448
26,M,52,170,17.99,5882,74,535
46,F,62,177,19.79,5756,90,523
21,M,72,172,24.34,5661,60,515
35,F,52,157,21.1,5096,92,463
35,F,52,174,17.18,5286,63,481
57,F,72,155,29.97,4877,84,443
57,M,72,180,22.22,5481,60,498
30,F,62,156,25.48,5100,81,464
28,M,72,157,29.21,4523,90,411
57,F,62,166,22.5,5265,86,479
50,F,72,160,28.13,5725,71,520
21,M,62,171,21.2,5766,85,524
42,F,52,175,16.98,5380,85,489
55,M,62,182,18.72,5838,99,531
41,M,72,179,22.47,4541,76,413
48,F,72,168,25.51,4958,98,451
29,M,72,163,27.1,4663,87,424
46,M,62,175,20.24,5731,91,521
27,M,52,162,19.81,4734,72,430
34,M,72,159,28.48,4652,96,423
29,M,62,157,25.15,4581,61,416
53,M,52,156,21.37,4976,96,452
30,F,52,182,15.7,4979,90,453
20,M,72,155,29.97,5654,82,514
50,F,72,167,25.82,5800,71,527
22,F,72,162,27.43,4923,89,448
56,M,72,155,29.97,5175,85,470
51,M,62,183,18.51,5761,62,524
50,M,62,184,18.31,4682,102,426
41,F,52,176,16.79,5111,94,465
31,F,62,173,20.72,5854,74,532
38,M,62,175,20.24,4569,67,415
36,F,52,162,19.81,5119,98,465
41,F,72,158,28.84,4593,64,418
34,M,62,184,18.31,5914,65,538
27,M,62,171,21.2,5640,86,513
50,M,72,182,21.74,5975,78,543
59,M,62,164,23.05,5049,75,459
27,M,72,175,23.51,5123,60,466
46,M,52,164,19.33,5179,103,471
48,M,72,165,26.45,4837,72,440
47,F,72,164,26.77,4925,99,448
39,M,62,182,18.72,4598,62,418
20,M,72,178,22.72,4889,105,444
45,F,52,173,17.37,5308,100,483
41,M,72,166,26.13,4765,62,433
54,M,72,180,22.22,4851,76,441
51,F,72,162,27.43,5104,62,464
30,M,62,178,19.57,5354,64,487
21,M,52,175,16.98,5873,66,534
35,F,62,184,18.31,5892,62,536
52,F,72,169,25.21,5121,83,466
42,F,52,166,18.87,4670,91,425
59,M,72,163,27.1,5426,85,493
21,M,72,159,28.48,4798,100,436
57,F,52,181,15.87,5875,92,534
44,M,52,168,18.42,5273,62,479
53,F,52,171,17.78,4794,82,436
60,M,62,183,18.51,5405,97,491
33,F,72,178,22.72,5803,92,528
59,F,72,167,25.82,5257,72,478
25,M,62,174,20.48,5238,80,476
51,F,52,168,18.42,5075,92,461
46,M,62,179,19.35,5894,77,536
58,M,72,172,24.34,5190,94,472
60,M,62,165,22.77,4590,68,417
46,M,72,178,22.72,5329,92,484
41,M,62,179,19.35,4586,69,417
24,F,52,173,17.37,4607,68,419
28,F,72,174,23.78,5464,100,497
52,M,62,181,18.92,5403,81,491
20,F,52,155,21.64,4636,101,421
52,M,62,178,19.57,5020,75,456
51,M,72,172,24.34,4581,92,416
31,F,52,175,16.98,4500,61,409
51,M,72,183,21.5,5593,98,508
25,M,72,168,25.51,5450,85,495
35,F,72,178,22.72,5110,97,465
22,F,72,181,21.98,5654,69,514
48,M,72,181,21.98,5319,104,484
50,M,52,163,19.57,4943,65,449
29,M,62,169,21.71,4669,79,424
34,F,52,182,15.7,5437,99,494
26,F,62,170,21.45,4583,92,417
26,M,62,167,22.23,5308,100,483
59,F,52,171,17.78,5179,98,471
24,F,52,178,16.41,5038,100,458
44,F,52,161,20.06,4949,81,450
36,F,62,160,24.22,5002,70,455
28,M,72,169,25.21,5079,101,462
33,M,52,170,17.99,5021,96,456
25,F,72,176,23.24,4995,97,454
24,F,62,182,18.72,5547,73,504
50,F,72,175,23.51,5236,79,476
54,F,62,159,24.52,4802,63,437
28,F,62,181,18.92,5445,82,495
51,F,62,173,20.72,5065,99,460
52,M,52,173,17.37,5863,96,533
57,M,62,173,20.72,5826,84,530
52,F,62,182,18.72,5080,91,462
22,M,62,183,18.51,5803,84,528
46,M,72,163,27.1,5178,96,471
48,F,72,181,21.98,5091,60,463
22,M,62,161,23.92,5900,91,536
34,M,52,160,20.31,5439,63,494
57,F,72,185,21.04,5976,67,543
51,M,72,185,21.04,4620,77,420
36,M,72,164,26.77,5156,69,469
45,F,52,157,21.1,5848,103,532
36,M,52,177,16.6,5000,77,455
24,M,62,161,23.92,4672,67,425
48,M,62,156,25.48,5809,84,528
53,F,62,158,24.84,4577,70,416
52,M,72,166,26.13,4587,76,417
21,F,62,178,19.57,5090,84,463
38,F,62,184,18.31,5970,94,543
28,M,72,175,23.51,4982,68,453
47,F,62,172,20.96,5597,73,509
34,F,72,160,28.13,5283,83,480
33,F,62,182,18.72,5676,64,516
30,M,62,160,24.22,4925,87,448
31,M,52,167,18.65,5767,83,524
28,F,72,178,22.72,4638,61,422
45,F,52,175,16.98,5575,80,507
59,F,62,168,21.97,5126,65,466
47,M,72,173,24.06,5051,99,459
21,M,52,174,17.18,5893,84,536
39,M,62,170,21.45,5865,73,533
45,M,62,170,21.45,5192,83,472
34,M,52,180,16.05,4526,94,411
39,M,52,160,20.31,5366,70,488
48,M,52,162,19.81,4640,64,422
31,F,72,172,24.34,5364,68,488
33,F,52,172,17.58,5191,95,472
41,M,52,178,16.41,4929,73,448
41,M,52,165,19.1,5710,62,519
35,M,52,171,17.78,5234,94,476
56,F,62,163,23.34,5977,65,543
40,F,62,167,22.23,5771,101,525
47,F,52,163,19.57,4944,73,449
30,F,72,163,27.1,5852,65,532
28,F,52,185,15.19,4666,96,424
34,M,52,166,18.87,5305,95,482
58,M,62,170,21.45,5695,80,518
21,M,62,164,23.05,5060,88,460
58,F,62,182,18.72,5929,69,539
25,F,72,182,21.74,5480,98,498
57,F,72,165,26.45,5545,97,504
35,F,62,164,23.05,5894,102,536
46,M,72,181,21.98,5811,98,528
55,F,72,173,24.06,4989,104,454
39,M,62,184,18.31,4630,90,421
26,F,72,179,22.47,5051,75,459
20,M,52,175,16.98,5876,94,534
32,F,52,185,15.19,5475,77,498
54,M,62,157,25.15,5577,102,507
60,M,62,168,21.97,5289,79,481
44,F,62,155,25.81,5707,92,519
38,F,52,159,20.57,5461,69,496
46,M,72,171,24.62,5129,80,466
20,F,72,182,21.74,5152,76,468
26,F,62,168,21.97,4535,90,412
28,F,62,178,19.57,5576,86,507
28,M,62,168,21.97,4858,87,442
40,F,52,184,15.36,5768,73,524
34,M,72,173,24.06,4766,75,433
36,F,72,157,29.21,5391,91,490
43,M,62,155,25.81,5697,69,518
41,M,52,175,16.98,4742,104,431
38,F,72,184,21.27,5987,79,544
37,F,72,170,24.91,4856,78,441
47,M,62,183,18.51,5832,103,530
46,F,52,158,20.83,5609,73,510
30,M,72,177,22.98,5762,92,524
44,F,62,163,23.34,5043,99,458
58,M,52,182,15.7,4601,79,418
51,F,52,157,21.1,5981,66,544
54,M,72,157,29.21,5621,82,511
60,F,52,159,20.57,4866,103,442
45,M,62,170,21.45,5525,77,502
44,F,62,169,21.71,5969,82,543
30,M,62,166,22.5,4937,71,449
57,F,72,170,24.91,5681,68,516
33,M,62,166,22.5,5198,105,473
33,F,72,167,25.82,5232,85,476
21,M,62,157,25.15,5132,79,467
49,M,62,162,23.62,4567,71,415
35,M,72,157,29.21,5828,77,530
52,M,62,157,25.15,5187,86,472
37,F,62,181,18.92,5567,93,506
26,M,72,170,24.91,5526,102,502
25,M,62,159,24.52,5536,76,503
23,M,62,175,20.24,5999,81,545
41,F,52,168,18.42,4737,87,431
27,M,72,171,24.62,4672,84,425
56,F,52,175,16.98,5491,102,499
20,F,52,182,15.7,5499,78,500
40,M,72,165,26.45,5333,75,485
50,F,72,173,24.06,4804,86,437
30,F,52,169,18.21,4907,85,446
50,F,72,165,26.45,5371,85,488
60,M,62,170,21.45,5281,101,480
37,M,62,168,21.97,5435,92,494
27,F,72,180,22.22,5827,73,530
50,F,62,176,20.02,4516,81,411
50,F,72,157,29.21,4878,80,443
32,M,52,168,18.42,5823,85,529
49,M,62,158,24.84,4766,95,433
20,M,72,173,24.06,5434,79,494
46,F,72,157,29.21,5102,92,464
50,M,52,182,15.7,5668,101,515
39,M,62,159,24.52,5326,82,484
27,M,62,167,22.23,5742,91,522
49,M,52,167,18.65,4651,60,423
58,F,62,159,24.52,5708,79,519
44,F,72,155,29.97,5431,104,494
59,M,72,162,27.43,5430,97,494
57,F,72,172,24.34,4740,60,431
35,F,52,178,16.41,5809,89,528
36,F,72,181,21.98,5807,101,528
38,M,62,168,21.97,5515,61,501
51,M,62,179,19.35,4532,104,412
40,M,62,166,22.5,5582,86,507
28,M,62,182,18.72,5406,101,491
50,F,72,168,25.51,4770,77,434
23,M,72,159,28.48,5373,78,488
57,F,72,162,27.43,5772,76,525
32,M,72,178,22.72,5704,92,519
30,F,72,167,25.82,5724,66,520
29,M,72,165,26.45,4986,77,453
32,F,72,172,24.34,5242,70,477
33,M,72,171,24.62,4827,88,439
28,M,62,168,21.97,4940,75,449
50,M,52,170,17.99,4682,99,426
31,F,72,169,25.21,5293,61,481
47,F,72,158,28.84,5510,101,501
22,M,62,182,18.72,4810,95,437
52,F,62,169,21.71,4777,92,434
47,F,52,162,19.81,5960,72,542
21,F,72,177,22.98,5428,92,493
26,M,72,173,24.06,4790,80,435
49,F,62,165,22.77,5989,90,544
25,M,72,160,28.13,4673,93,425
30,F,52,165,19.1,4653,64,423
40,F,52,181,15.87,5480,81,498
55,F,62,173,20.72,4688,91,426
57,F,52,171,17.78,4901,94,446
27,M,52,180,16.05,5968,85,543
21,F,52,170,17.99,4705,71,428
51,F,52,156,21.37,5135,100,467
21,F,62,167,22.23,4785,89,435
44,M,52,182,15.7,5305,77,482
21,M,52,173,17.37,5924,81,539
32,F,62,179,19.35,5205,97,473
24,F,72,171,24.62,5528,100,503
34,M,72,175,23.51,4750,65,432
51,F,72,166,26.13,5352,64,487
22,F,52,174,17.18,5250,92,477
55,M,62,174,20.48,4807,79,437
20,M,52,176,16.79,5702,100,518
20,F,72,164,26.77,4987,80,453
21,M,52,174,17.18,5195,62,472
34,M,72,185,21.04,5381,87,489
60,F,72,185,21.04,4501,73,409
28,F,72,155,29.97,5456,89,496
56,M,72,176,23.24,4657,63,423
50,M,62,167,22.23,5960,78,542
54,F,72,160,28.13,5282,78,480
31,M,62,158,24.84,4509,63,410
54,M,62,180,19.14,5712,63,519
45,F,62,175,20.24,5503,76,500
29,M,72,160,28.13,5314,100,483
59,M,72,185,21.04,5984,93,544
23,M,62,178,19.57,5893,73,536
52,M,62,184,18.31,5994,63,545
45,M,72,164,26.77,4940,66,449
47,F,72,158,28.84,5764,68,524
60,F,62,165,22.77,4720,60,429
34,M,62,160,24.22,5590,91,508
30,M,52,170,17.99,5779,79,525
55,F,72,183,21.5,5661,73,515
55,F,72,163,27.1,5478,78,498
31,F,72,168,25.51,5717,88,520
34,M,72,162,27.43,5964,105,542
45,F,72,157,29.21,5925,67,539
35,M,52,178,16.41,4595,83,418
32,F,52,171,17.78,5727,84,521
37,F,72,169,25.21,4683,63,426
37,M,72,177,22.98,5394,60,490
50,M,62,163,23.34,5554,69,505
51,F,62,181,18.92,5111,103,465
23,M,52,175,16.98,5815,77,529
33,F,72,155,29.97,4887,102,444
21,F,52,178,16.41,5148,95,468
47,F,62,179,19.35,4843,90,440
33,M,62,177,19.79,4615,62,420
31,M,62,168,21.97,5468,105,497
50,M,72,182,21.74,4532,91,412
20,M,72,158,28.84,5293,63,481
50,M,62,156,25.48,5947,70,541
42,F,62,170,21.45,4601,87,418
52,M,52,171,17.78,5561,97,506
35,F,72,165,26.45,5355,69,487
23,M,72,175,23.51,4960,61,451
41,M,62,166,22.5,5720,71,520
24,F,52,172,17.58,4994,60,454
25,F,72,155,29.97,5717,79,520
43,M,52,162,19.81,5530,60,503
46,F,52,177,16.6,5126,69,466
45,F,62,165,22.77,5426,64,493
27,F,52,171,17.78,5040,72,458
24,F,62,157,25.15,5628,82,512
40,M,72,182,21.74,5481,80,498
25,M,62,160,24.22,5707,87,519
46,F,62,182,18.72,4854,61,441
46,F,72,178,22.72,4612,63,419
40,F,52,160,20.31,5968,96,543
41,M,72,182,21.74,5016,82,456
20,M,72,179,22.47,4712,76,428
36,M,52,158,20.83,4796,88,436
38,F,52,179,16.23,5137,75,467
58,F,62,174,20.48,5673,94,516
36,M,72,182,21.74,5521,70,502
58,F,52,181,15.87,4778,72,434
35,F,52,159,20.57,5626,72,511
45,M,62,178,19.57,5422,83,493
49,F,62,172,20.96,5487,81,499
59,M,72,178,22.72,5541,87,504
35,M,52,173,17.37,5078,99,462
57,F,72,160,28.13,5691,94,517
36,M,62,177,19.79,5958,84,542
59,F,62,163,23.34,4821,61,438
23,M,52,169,18.21,5134,74,467
41,F,52,167,18.65,4715,63,429
26,M,62,168,21.97,5403,88,491
47,M,72,177,22.98,4978,86,453
44,M,72,175,23.51,4714,84,429
59,F,52,158,20.83,4777,68,434
59,M,72,177,22.98,5227,63,475
43,F,52,160,20.31,5036,79,458
29,M,52,161,20.06,5513,87,501
48,M,52,183,15.53,5783,77,526
21,F,52,158,20.83,5602,60,509
41,M,72,161,27.78,5335,99,485
28,M,72,162,27.43,5726,63,521
20,M,72,173,24.06,4971,92,452
36,M,72,163,27.1,5730,72,521
46,F,62,172,20.96,5737,78,522
49,M,52,156,21.37,4894,79,445
27,M,52,172,17.58,5042,61,458
40,F,62,164,23.05,5516,93,501
35,F,72,175,23.51,5523,68,502
33,M,72,177,22.98,5696,102,518
28,M,62,185,18.12,5144,93,468
47,M,52,167,18.65,5847,67,532
55,F,62,179,19.35,4643,80,422
27,M,72,173,24.06,5065,78,460
31,M,62,159,24.52,5001,105,455
31,M,62,158,24.84,4973,83,452
33,F,72,158,28.84,4556,64,414
50,M,52,164,19.33,5161,88,469
57,M,62,172,20.96,5506,95,501
20,F,72,182,21.74,5784,77,526
47,F,52,168,18.42,4562,93,415
31,F,52,168,18.42,4705,61,428
